Index_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
8477,Zombie,No,1430.0,M,156.0,1.0,4.0,silver,humans
317,Zombie,No,588.0,M,151.0,37.0,6.0,sunlight,pesto pasta
2200,Zombie,Yes,122.0,M,194.0,23.0,7.0,silver,pesto pasta
616,Skeleton,No,716.0,M,195.0,30.0,5.0,sunlight,brain
9973,Ghost,Yes,332.0,F,185.0,55.0,5.0,silver,lasagna
1194,Werewolf,No,603.0,F,194.0,28.0,1.0,silver,pesto pasta
9558,Zombie,Yes,314.0,F,171.0,51.0,7.0,garlic,pesto pasta
9145,Ghost,No,110.0,M,169.0,16.0,1.0,silver,pesto pasta
4606,Ghost,No,153.0,M,155.0,9.0,2.0,garlic,brain
9578,Werewolf,Yes,156.0,M,156.0,74.0,6.0,silver,pesto pasta
2935,Skeleton,No,903.0,M,151.0,17.0,10.0,silver,brain
7026,Werewolf,No,1012.0,F,154.0,68.0,1.0,sunlight,lasagna
6038,Ghost,No,22.0,M,165.0,51.0,10.0,silver,brain
493,Skeleton,No,664.0,F,195.0,30.0,9.0,sunlight,brain
7934,Vampire,Yes,136.0,F,185.0,6.0,2.0,sunlight,pesto pasta
2701,Ghost,Yes,1440.0,M,180.0,43.0,1.0,pumpkin,brain
7864,Zombie,No,84.0,M,164.0,10.0,3.0,sunlight,brain
9052,Werewolf,No,264.0,F,162.0,16.0,3.0,pumpkin,Humans
6810,Werewolf,No,151.0,F,179.0,95.0,6.0,silver,humans
2382,Vampire,Yes,87.0,F,160.0,32.0,1.0,silver,lasagna
3780,Skeleton,No,2707.0,M,167.0,31.0,10.0,garlic,pesto pasta
4900,Werewolf,Yes,3581.0,F,176.0,44.0,3.0,sunlight,lasagna
9421,Witch,No,121.0,F,175.0,24.0,6.0,garlic,lasagna
791,Ghost,No,635.0,M,177.0,20.0,4.0,silver,pesto pasta
108,Vampire,Yes,613.0,M,197.0,36.0,6.0,silver,pesto pasta
6178,Werewolf,No,186.0,F,187.0,9.0,5.0,sunlight,rats
785,Ghost,No,71.0,F,175.0,15.0,10.0,garlic,humans
7880,Ghost,No,68.0,F,186.0,47.0,9.0,silver,lasagna
8174,Skeleton,Yes,1693.0,M,180.0,42.0,10.0,pumpkin,brain
3340,Vampire,Yes,720.0,F,175.0,43.0,9.0,sunlight,rats
8976,Werewolf,Yes,650.0,M,157.0,57.0,2.0,garlic,humans
424,Vampire,No,319.0,F,198.0,40.0,7.0,cat hair,brain
1793,Witch,Yes,1039.0,F,198.0,1.0,4.0,silver,brain
6993,Zombie,No,1.0,F,169.0,66.0,9.0,sunlight,pesto pasta
6654,Skeleton,No,58.0,M,155.0,16.0,4.0,garlic,rats
9453,Vampire,Yes,935.0,F,152.0,27.0,7.0,silver,rats
6157,Werewolf,Yes,650.0,M,174.0,12.0,3.0,hazelnut,brain
9409,Skeleton,No,1574.0,F,182.0,55.0,4.0,sunlight,lasagna
3220,Ghost,Yes,247.0,M,159.0,1.0,9.0,Silver,lasagna
8337,Ghost,Yes,2604.0,F,185.0,78.0,10.0,sunlight,lasagna
7708,Werewolf,No,494.0,M,188.0,59.0,9.0,pumpkin,rats
6449,Witch,No,108.0,M,197.0,83.0,6.0,silver,rats
9238,Zombie,No,708.0,F,167.0,46.0,3.0,Cat hair,lasagna
1796,Zombie,No,1488.0,F,196.0,54.0,2.0,cat hair,rats
