Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found
3834,2022-11-15,Werewolf,24.0,mountain,assault,brute force,dusk,blood
9635,2024-02-23,Vampire,36.0,castle,nightly disturbance,brute force,night,Blood
348,2020-04-01,Skeleton,96.0,swamp,vandalism,brute force,dusk,bones
6104,2022-07-05,Werewolf,93.0,mountain,assault,pistol,day,fur
1379,2022-02-11,Vampire,50.0,castle,nightly disturbance,axe,night,blood
9042,2022-08-19,Witch,93.0,village,arson,N/A,day,fur
4758,2024-01-12,Vampire,4.0,village,assault,N/A,night,blood
3947,2023-03-07,Werewolf,48.0,village,assault,pistol,night,bones
5383,2019-12-21,Ghost,27.0,village,nightly disturbance,brute force,night,potions
1502,2022-10-26,Ghost,25.0,castle,theft,pistol,night,cloak
2481,2021-02-27,Vampire,13.0,CASTLE,theft,brute force,night,blood
1578,2021-10-06,Ghost,56.0,castle,NIGHTLY DISTURBANCE,pistol,night,potions
7034,2022-09-22,Zombie,65.0,forest,murder,knife,dusk,potions
8271,2023-08-09,Ghost,51.0,village,theft,knife,night,potions
8599,2022-02-21,Werewolf,44.0,village,kidnapping,axe,dusk,teeth
4236,2022-01-02,Werewolf,96.0,forest,assault,knife,night,fur
642,2023-01-22,Witch,64.0,swamp,arson,brute force,day,potions
198,2019-11-05,Skeleton,93.0,mountain,nightly disturbance,axe,night,cloak
9224,2024-05-30,Zombie,18.0,forest,assault,axe,night,potions
8845,2020-03-10,Werewolf,62.0,forest,assault,axe,dusk,potions
8230,2023-12-04,Ghost,31.0,forest,nightly disturbance,knife,night,cloak
9765,2022-09-19,Ghost,36.0,castle,nightly disturbance,knife,night,potions
5576,2021-05-03,Werewolf,31.0,forest,assault,axe,night,blood
9856,2020-01-25,Ghost,72.0,castle,vandalism,knife,dusk,potions
7915,2020-01-24,Skeleton,54.0,swamp,nightly disturbance,pistol,night,cloak
7647,2020-04-10,Witch,95.0,swamp,kidnapping,pistol,day,cloak
9553,2020-09-09,Skeleton,41.0,forest,arson,knife,day,bones
9543,2020-11-03,Vampire,83.0,castle,assault,N/A,dusk,teeth
