Index_ID,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
1,2023-05-31,Skeleton,69.0,mountain,nightly disturbance,knife,night,cloak,Skeleton,No,392.0,M,186.0,37.0,10.0,silver,lasagna
2,2020-06-14,Ghost,61.0,village,nightly disturbance,knife,night,cloak,Ghost,No,2899.0,F,151.0,59.0,5.0,pumpkin,lasagna
3,2019-12-20,Witch,4.0,village,arson,axe,night,blood,Witch,Yes,229.0,F,162.0,18.0,6.0,garlic,lasagna
4,2023-12-26,Ghost,33.0,village,arson,brute force,dawn,potions,Ghost,No,1354.0,M,158.0,74.0,3.0,sunlight,rats
5,2021-05-15,Ghost,65.0,castle,vandalism,knife,dawn,potions,Ghost,No,2475.0,M,158.0,59.0,1.0,sunlight,pesto pasta
6,2021-03-14,Werewolf,41.0,forest,assault,knife,night,fur,Werewolf,No,70.0,F,174.0,76.0,2.0,silver,humans
7,2021-01-29,Witch,9.0,swamp,arson,knife,dusk,cloak,Witch,Yes,438.0,M,198.0,25.0,7.0,hazelnut,pesto pasta
8,2020-08-10,Witch,98.0,swamp,arson,,dusk,potions,Witch,Yes,355.0,F,163.0,18.0,1.0,hazelnut,pesto pasta
9,2023-12-16,Witch,36.0,village,arson,knife,night,potions,Witch,No,465.0,M,177.0,18.0,2.0,hazelnut,pesto pasta
10,2020-05-26,Ghost,51.0,village,vandalism,axe,night,potions,Ghost,No,446.0,M,186.0,60.0,3.0,sunlight,brain
11,2023-08-15,Skeleton,82.0,mountain,vandalism,,dusk,bones,Skeleton,Yes,1479.0,F,150.0,1.0,2.0,garlic,pesto pasta
12,2023-12-24,Witch,87.0,forest,arson,,dusk,bones,Witch,No,570.0,F,195.0,15.0,1.0,hazelnut,Brain
13,2024-10-30,Zombie,84.0,forest,murder,,dawn,bones,Zombie,No,143.0,F,150.0,15.0,3.0,pumpkin,pesto pasta
14,2022-11-19,Ghost,23.0,castle,theft,pistol,night,potions,Ghost,Yes,1.0,M,192.0,43.0,5.0,pumpkin,pesto pasta
15,2020-04-25,Werewolf,28.0,forest,assault,,night,blood,Werewolf,Yes,65.0,M,180.0,70.0,5.0,cat hair,rats
16,2023-02-20,Skeleton,77.0,swamp,arson,,dawn,bones,Skeleton,Yes,706.0,F,154.0,48.0,1.0,Cat hair,brain
17,2022-03-12,Zombie,37.0,mountain,assault,,night,blood,Zombie,No,132.0,F,185.0,17.0,7.0,sunlight,humans
18,2020-01-03,Zombie,76.0,forest,kidnapping,brute force,dusk,potions,Zombie,Yes,101.0,M,192.0,18.0,5.0,sunlight,brain
19,2019-12-30,Werewolf,16.0,forest,assault,knife,night,potions,Werewolf,No,73.0,M,157.0,80.0,1.0,silver,lasagna
20,2020-05-08,Skeleton,74.0,castle,assault,brute force,dusk,bones,Skeleton,No,1014.0,M,199.0,11.0,10.0,silver,pesto pasta
21,2021-01-19,Ghost,43.0,castle,vandalism,knife,night,cloak,Ghost,Yes,2851.0,M,170.0,12.0,8.0,cat hair,humans
22,2021-02-17,Vampire,61.0,village,assault,brute force,night,blood,Vampire,No,428.0,F,175.0,27.0,6.0,silver,Humans
23,2022-08-29,Skeleton,63.0,mountain,arson,,dusk,bones,Skeleton,No,1522.0,F,165.0,49.0,3.0,silver,rats
24,2023-03-15,Werewolf,56.0,mountain,vandalism,,dawn,fur,Werewolf,No,111.0,M,168.0,84.0,8.0,silver,lasagna
25,2019-12-23,Zombie,13.0,swamp,kidnapping,brute force,night,teeth,Zombie,Yes,44.0,F,151.0,11.0,4.0,sunlight,brain
26,2022-12-22,GHOST,77.0,village,nightly disturbance,knife,night,cloak,GHOST,Yes,1031.0,F,181.0,32.0,1.0,sunlight,pesto pasta
27,2020-12-10,Skeleton,96.0,mountain,nightly disturbance,brute force,night,cloak,Skeleton,No,876.0,M,177.0,41.0,8.0,silver,brain
28,2023-11-04,Vampire,4.0,forest,nightly disturbance,pistol,night,cloak,Vampire,Yes,358.0,F,196.0,46.0,5.0,sunlight,brain
29,2023-06-21,Vampire,41.0,forest,theft,knife,night,blood,Vampire,Yes,487.0,F,167.0,52.0,6.0,silver,pesto pasta
30,2023-10-05,Witch,31.0,village,kidnapping,axe,dawn,cloak,Witch,No,374.0,M,167.0,7.0,7.0,hazelnut,brain
31,2022-11-19,Witch,8.0,forest,arson,,Dawn,cloak,Witch,No,297.0,F,152.0,16.0,7.0,hazelnut,rats
32,2022-03-07,Werewolf,94.0,forest,nightly disturbance,axe,night,blood,Werewolf,No,120.0,F,186.0,77.0,4.0,silver,humans
33,2021-01-23,Skeleton,75.0,forest,assault,knife,day,bones,Skeleton,Yes,638.0,M,176.0,15.0,2.0,garlic,humans
34,2022-05-06,Skeleton,48.0,mountain,arson,axe,day,bones,Skeleton,No,190.0,M,170.0,51.0,10.0,garlic,rats
35,2023-02-17,Zombie,73.0,swamp,kidnapping,knife,day,teeth,Zombie,Yes,179.0,M,158.0,20.0,1.0,cat hair,humans
36,2021-05-21,Zombie,77.0,mountain,murder,pistol,night,bones,Zombie,No,114.0,F,168.0,17.0,5.0,sunlight,humans
37,2024-05-13,Zombie,66.0,forest,kidnapping,knife,dawn,bones,Zombie,No,49.0,M,158.0,14.0,4.0,cat hair,pesto pasta
38,2024-09-13,Witch,96.0,village,kidnapping,,day,bones,Witch,Yes,375.0,F,173.0,20.0,2.0,hazelnut,lasagna
39,2019-11-12,Skeleton,8.0,mountain,arson,pistol,day,cloak,Skeleton,Yes,599.0,M,161.0,36.0,7.0,garlic,rats
40,2024-01-31,Skeleton,49.0,mountain,nightly disturbance,axe,night,bones,Skeleton,Yes,1371.0,F,198.0,1.0,8.0,silver,rats
41,2024-05-06,Vampire,97.0,mountain,nightly disturbance,knife,night,teeth,Vampire,No,848.0,F,191.0,32.0,9.0,garlic,humans
42,2020-09-20,Witch,62.0,village,arson,,dusk,cloak,Witch,Yes,70.0,F,173.0,27.0,4.0,hazelnut,humans
43,2023-09-28,Ghost,72.0,mountain,vandalism,,dawn,cloak,Ghost,Yes,1603.0,F,183.0,100.0,1.0,sunlight,lasagna
44,2022-03-13,Witch,8.0,mountain,theft,,day,cloak,Witch,Yes,305.0,M,164.0,11.0,1.0,hazelnut,pesto pasta
45,2021-09-25,Ghost,36.0,mountain,theft,,night,potions,Ghost,No,1272.0,M,167.0,46.0,10.0,sunlight,lasagna
46,2021-05-21,Vampire,91.0,mountain,nightly disturbance,knife,night,blood,Vampire,Yes,675.0,F,160.0,45.0,7.0,sunlight,rats
47,2020-09-12,Werewolf,93.0,mountain,nightly disturbance,,night,teeth,Werewolf,No,172.0,F,196.0,50.0,6.0,silver,rats
48,2021-01-12,Skeleton,3.0,mountain,nightly disturbance,pistol,night,bones,Skeleton,Yes,1179.0,F,190.0,14.0,7.0,garlic,brain
49,2024-02-09,Vampire,16.0,castle,assault,brute force,night,teeth,Vampire,Yes,503.0,F,177.0,26.0,6.0,garlic,pesto pasta
50,2021-09-18,Skeleton,65.0,castle,arson,knife,day,cloak,Skeleton,No,1775.0,M,158.0,13.0,7.0,silver,rats
51,2020-05-26,Zombie,44.0,mountain,murder,pistol,night,bones,Zombie,Yes,71.0,M,182.0,27.0,5.0,sunlight,humans
52,2020-05-06,Werewolf,75.0,forest,vandalism,axe,dusk,blood,Werewolf,Yes,137.0,M,179.0,43.0,6.0,silver,brain
53,2021-12-16,Werewolf,64.0,forest,assault,axe,night,fur,Werewolf,Yes,130.0,F,174.0,39.0,5.0,silver,brain
54,2020-05-15,Vampire,69.0,forest,nightly disturbance,knife,night,blood,Vampire,No,487.0,F,184.0,25.0,4.0,silver,LASAGNA
55,2021-11-03,Werewolf,16.0,mountain,nightly disturbance,knife,night,blood,Werewolf,No,8.0,F,163.0,7.0,7.0,hazelnut,brain
56,2024-07-30,Ghost,90.0,village,vandalism,,dawn,cloak,Ghost,Yes,538.0,F,165.0,1.0,3.0,sunlight,humans
57,2021-10-03,Werewolf,72.0,village,assault,pistol,night,fur,Werewolf,Yes,113.0,M,176.0,50.0,6.0,silver,brain
58,2023-03-19,Skeleton,23.0,mountain,vandalism,brute force,night,bones,Skeleton,No,713.0,M,191.0,8.0,9.0,silver,pesto pasta
59,2021-04-23,Skeleton,97.0,mountain,vandalism,pistol,day,bones,Skeleton,No,1178.0,F,166.0,5.0,5.0,hazelnut,brain
60,2024-05-08,Skeleton,19.0,castle,assault,axe,day,bones,Skeleton,No,613.0,M,173.0,1.0,7.0,silver,pesto pasta
61,2020-01-26,Skeleton,27.0,castle,assault,knife,day,bones,Skeleton,Yes,87.0,M,177.0,39.0,10.0,silver,lasagna
62,2023-12-02,Ghost,93.0,village,vandalism,,night,cloak,Ghost,Yes,1160.0,M,155.0,27.0,7.0,pumpkin,lasagna
63,2022-05-27,Witch,7.0,swamp,arson,axe,dusk,potions,Witch,Yes,183.0,M,159.0,23.0,9.0,hazelnut,lasagna
64,2022-11-01,Zombie,37.0,mountain,kidnapping,brute force,day,blood,Zombie,No,69.0,F,199.0,19.0,5.0,cat hair,rats
65,2020-07-11,Vampire,76.0,castle,assault,knife,night,teeth,Vampire,No,515.0,M,188.0,26.0,6.0,silver,lasagna
66,2021-12-13,Skeleton,61.0,castle,arson,knife,day,bones,Skeleton,Yes,605.0,M,171.0,30.0,1.0,garlic,humans
67,2020-04-08,werewolf,22.0,forest,Vandalism,knife,night,teeth,werewolf,No,74.0,F,199.0,18.0,6.0,hazelnut,lasagna
68,2022-12-03,Skeleton,70.0,mountain,arson,knife,day,BONES,Skeleton,No,1191.0,M,192.0,27.0,4.0,Silver,brain
69,2021-06-21,Werewolf,97.0,mountain,assault,,night,blood,Werewolf,Yes,143.0,F,183.0,84.0,7.0,silver,humans
70,2024-06-23,Zombie,85.0,swamp,murder,,day,bones,Zombie,No,127.0,F,168.0,19.0,7.0,garlic,humans
71,2023-05-09,Zombie,64.0,forest,vandalism,,night,potions,Zombie,No,40.0,F,192.0,10.0,6.0,cat hair,rats
72,2023-04-18,Zombie,84.0,forest,murder,knife,dawn,teeth,Zombie,Yes,1.0,M,167.0,13.0,2.0,sunlight,brain
73,2024-10-16,Werewolf,53.0,forest,assault,axe,night,blood,Werewolf,No,1.0,M,155.0,69.0,9.0,hazelnut,rats
