Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Index_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
6316,2020-02-18,skeleton,77.0,mountain,nightly disturbance,,night,bones,6316,skeleton,yes,1.0,f,152.0,26.0,8.0,silver,lasagna
4731,2022-09-01,werewolf,48.0,forest,assault,pistol,night,teeth,4731,werewolf,no,53.0,m,171.0,87.0,7.0,silver,pesto pasta
1750,2022-08-03,ghost,31.0,castle,nightly disturbance,,night,potions,1750,ghost,no,1634.0,m,185.0,59.0,2.0,sunlight,humans
4789,2023-10-18,witch,29.0,swamp,arson,pistol,dawn,potions,4789,witch,no,322.0,m,169.0,23.0,3.0,pumpkin,lasagna
4567,2021-03-25,ghost,59.0,village,nightly disturbance,pistol,night,potions,4567,ghost,no,757.0,f,170.0,36.0,10.0,garlic,rats
6406,2023-12-04,zombie,56.0,swamp,assault,knife,dawn,teeth,6406,zombie,no,39.0,f,185.0,21.0,2.0,silver,brain
584,2022-02-19,ghost,3.0,mountain,vandalism,,night,potions,584,ghost,no,191.0,f,163.0,55.0,9.0,sunlight,rats
5254,2021-11-15,skeleton,83.0,swamp,assault,knife,day,cloak,5254,skeleton,yes,1693.0,m,182.0,28.0,10.0,silver,humans
6429,2024-05-04,vampire,11.0,castle,assault,brute force,night,blood,6429,vampire,yes,658.0,m,193.0,40.0,6.0,silver,brain
446,2021-04-25,ghost,7.0,village,nightly disturbance,axe,night,cloak,446,ghost,yes,2129.0,m,150.0,51.0,3.0,garlic,brain
2780,2021-11-08,witch,91.0,village,kidnapping,knife,dawn,potions,2780,witch,yes,516.0,m,177.0,17.0,1.0,hazelnut,lasagna
7560,2022-06-21,zombie,56.0,swamp,kidnapping,,dawn,teeth,7560,zombie,yes,1.0,f,155.0,16.0,5.0,garlic,rats
5326,2023-08-02,ghost,32.0,village,nightly disturbance,,night,cloak,5326,ghost,no,2310.0,m,158.0,7.0,2.0,hazelnut,rats
5712,2021-06-04,zombie,2.0,village,kidnapping,,dawn,potions,5712,zombie,no,38.0,f,157.0,14.0,1.0,cat hair,brain
4040,2021-12-16,skeleton,58.0,castle,nightly disturbance,pistol,night,cloak,4040,skeleton,yes,1178.0,f,179.0,14.0,10.0,silver,brain
6094,2021-02-21,witch,49.0,mountain,arson,knife,dusk,cloak,6094,witch,no,352.0,f,193.0,21.0,2.0,hazelnut,pesto pasta
590,2021-03-21,vampire,65.0,castle,assault,,night,blood,590,vampire,yes,624.0,m,173.0,46.0,6.0,garlic,humans
10028,2024-02-11,zombie,61.0,swamp,kidnapping,pistol,night,potions,10028,zombie,no,82.0,f,152.0,13.0,6.0,cat hair,pesto pasta
7122,2024-09-09,witch,90.0,swamp,kidnapping,,night,fur,7122,witch,no,632.0,m,166.0,21.0,1.0,hazelnut,lasagna
8240,2024-02-14,witch,62.0,swamp,arson,brute force,day,bones,8240,witch,no,723.0,f,195.0,22.0,3.0,silver,brain
9994,2023-04-03,zombie,17.0,swamp,assault,brute force,dawn,bones,9994,zombie,yes,33.0,f,181.0,10.0,8.0,cat hair,pesto pasta
2276,2021-03-20,ghost,56.0,castle,nightly disturbance,knife,night,cloak,2276,ghost,no,515.0,m,197.0,57.0,8.0,sunlight,pesto pasta
4687,2022-01-09,ghost,13.0,village,nightly disturbance,pistol,night,potions,4687,ghost,yes,2421.0,m,170.0,93.0,5.0,pumpkin,brain
9580,2024-04-20,skeleton,97.0,mountain,nightly disturbance,,night,bones,9580,skeleton,no,1332.0,m,188.0,27.0,1.0,cat hair,rats
4994,2020-08-03,zombie,33.0,swamp,murder,,day,blood,4994,zombie,yes,6.0,f,190.0,21.0,10.0,garlic,rats
10018,2021-08-24,skeleton,59.0,castle,vandalism,pistol,day,bones,10018,skeleton,yes,1436.0,f,166.0,19.0,8.0,silver,rats
1985,2022-09-03,werewolf,68.0,village,assault,pistol,dusk,teeth,1985,werewolf,yes,36.0,f,153.0,73.0,7.0,cat hair,pesto pasta
8328,2024-09-10,werewolf,92.0,swamp,assault,pistol,night,teeth,8328,werewolf,yes,77.0,m,189.0,84.0,7.0,cat hair,pesto pasta
6656,2023-04-08,vampire,33.0,forest,assault,brute force,night,blood,6656,vampire,yes,291.0,f,176.0,51.0,8.0,sunlight,lasagna
8937,2022-06-20,ghost,54.0,village,nightly disturbance,knife,night,potions,8937,ghost,no,4150.0,m,168.0,3.0,1.0,sunlight,lasagna
326,2022-06-12,witch,15.0,village,arson,,dusk,potions,326,witch,no,178.0,m,161.0,29.0,2.0,hazelnut,pesto pasta
2708,2021-11-09,ghost,66.0,forest,theft,,dusk,potions,2708,ghost,yes,2777.0,m,169.0,55.0,2.0,sunlight,rats
4672,2021-06-04,witch,52.0,mountain,arson,,night,potions,4672,witch,yes,480.0,m,190.0,23.0,3.0,hazelnut,brain
4996,2024-02-23,werewolf,99.0,forest,assault,,night,fur,4996,werewolf,no,155.0,m,153.0,35.0,8.0,silver,lasagna
8413,2023-08-05,zombie,88.0,swamp,kidnapping,axe,night,potions,8413,zombie,yes,108.0,f,167.0,10.0,5.0,cat hair,rats
3372,2021-06-25,witch,80.0,village,arson,,dawn,potions,3372,witch,no,441.0,m,166.0,19.0,1.0,hazelnut,brain
5648,2024-02-01,ghost,67.0,castle,arson,,night,potions,5648,ghost,no,2011.0,m,181.0,55.0,4.0,pumpkin,rats
256,2022-11-28,witch,86.0,village,arson,,day,cloak,256,witch,no,397.0,f,161.0,17.0,3.0,hazelnut,pesto pasta
4014,2020-10-06,werewolf,58.0,mountain,assault,knife,night,blood,4014,werewolf,no,111.0,m,159.0,69.0,7.0,silver,rats
6697,2023-08-02,witch,28.0,village,kidnapping,axe,night,potions,6697,witch,yes,428.0,f,173.0,25.0,6.0,pumpkin,pesto pasta
5605,2021-09-07,zombie,64.0,forest,kidnapping,knife,dawn,teeth,5605,zombie,no,86.0,f,188.0,17.0,1.0,garlic,brain
36,2021-05-21,zombie,77.0,mountain,murder,pistol,night,bones,36,zombie,no,114.0,f,168.0,17.0,5.0,sunlight,humans
8448,2020-02-18,witch,6.0,swamp,kidnapping,,dawn,cloak,8448,witch,no,543.0,f,158.0,23.0,2.0,hazelnut,humans
1529,2023-04-16,vampire,86.0,castle,nightly disturbance,brute force,night,teeth,1529,vampire,no,618.0,f,164.0,19.0,7.0,sunlight,lasagna
9409,2020-12-03,werewolf,69.0,mountain,assault,axe,night,fur,9409,werewolf,yes,93.0,f,161.0,49.0,5.0,silver,humans
40,2024-01-31,skeleton,49.0,mountain,nightly disturbance,axe,night,bones,40,skeleton,yes,1371.0,f,198.0,1.0,8.0,silver,rats
4866,2021-01-31,ghost,85.0,castle,nightly disturbance,brute force,night,cloak,4866,ghost,yes,1208.0,m,152.0,51.0,10.0,sunlight,rats
3501,2019-11-06,ghost,11.0,castle,vandalism,axe,night,cloak,3501,ghost,no,2353.0,m,164.0,47.0,7.0,sunlight,humans
1779,2023-09-12,zombie,11.0,forest,vandalism,brute force,night,bones,1779,zombie,no,1.0,m,177.0,16.0,4.0,sunlight,lasagna
2332,2021-09-01,ghost,20.0,forest,vandalism,pistol,dusk,potions,2332,ghost,no,390.0,f,195.0,58.0,6.0,sunlight,pesto pasta
3762,2020-02-06,zombie,15.0,forest,kidnapping,axe,night,blood,3762,zombie,yes,105.0,f,167.0,17.0,9.0,sunlight,rats
8369,2022-01-14,werewolf,23.0,mountain,nightly disturbance,,night,blood,8369,werewolf,yes,153.0,f,158.0,93.0,3.0,hazelnut,humans
5040,2021-07-03,skeleton,21.0,mountain,nightly disturbance,axe,night,bones,5040,skeleton,yes,1525.0,f,191.0,28.0,10.0,silver,humans
8208,2020-05-30,skeleton,62.0,mountain,assault,pistol,dusk,cloak,8208,skeleton,no,1009.0,m,166.0,29.0,10.0,silver,rats
3064,2022-09-02,skeleton,36.0,castle,nightly disturbance,knife,night,bones,3064,skeleton,no,1491.0,m,177.0,8.0,2.0,silver,humans
8015,2023-06-11,skeleton,31.0,castle,vandalism,knife,night,cloak,8015,skeleton,no,1181.0,m,179.0,18.0,5.0,silver,pesto pasta
3071,2021-07-04,ghost,16.0,castle,nightly disturbance,brute force,night,cloak,3071,ghost,yes,1475.0,f,158.0,64.0,10.0,garlic,rats
9752,2022-04-30,vampire,36.0,castle,assault,pistol,night,cloak,9752,vampire,yes,595.0,f,169.0,39.0,6.0,garlic,brain
2573,2024-02-26,ghost,53.0,castle,vandalism,pistol,night,cloak,2573,ghost,no,3600.0,f,156.0,49.0,7.0,cat hair,rats
2620,2021-06-06,vampire,38.0,castle,assault,,night,cloak,2620,vampire,no,532.0,f,198.0,32.0,7.0,garlic,rats
1202,2021-12-17,skeleton,7.0,mountain,vandalism,,dusk,cloak,1202,skeleton,yes,484.0,f,166.0,35.0,4.0,silver,pesto pasta
8043,2022-07-19,ghost,44.0,castle,vandalism,pistol,dusk,potions,8043,ghost,no,2648.0,m,184.0,15.0,4.0,hazelnut,lasagna
6139,2019-11-18,werewolf,85.0,forest,nightly disturbance,,night,teeth,6139,werewolf,no,85.0,f,198.0,68.0,6.0,cat hair,lasagna
108,2020-10-14,witch,87.0,swamp,arson,pistol,night,potions,108,witch,yes,629.0,m,199.0,20.0,7.0,hazelnut,brain
1330,2023-08-02,ghost,18.0,castle,vandalism,knife,night,cloak,1330,ghost,no,2587.0,m,181.0,3.0,5.0,hazelnut,brain
8271,2022-09-11,werewolf,21.0,mountain,assault,axe,dusk,blood,8271,werewolf,no,67.0,m,161.0,38.0,3.0,silver,rats
2783,2020-07-04,werewolf,56.0,village,assault,knife,night,bones,2783,werewolf,yes,107.0,m,193.0,68.0,6.0,silver,humans
